precip_30d,precip_mean,precip_max,precip_days,temp_mean,temp_max,temp_min,temp_range,et0_mean,et0_sum
2.2,0.07096774193548387,1.0,0,25.75806451612903,43.7,14.3,29.400000000000002,7.8825806451612905,244.36
206.6,6.664516129032258,36.9,21,19.335483870967742,28.7,10.8,17.9,4.76,147.56
254.5,8.209677419354838,61.7,23,20.28064516129032,30.2,12.1,18.1,4.8835483870967735,151.39
192.9,6.22258064516129,53.5,20,21.8225806451613,32.5,12.7,19.8,5.701612903225804,176.74999999999994
199.8,6.445161290322581,53.5,20,21.912903225806453,32.5,12.4,20.1,5.674193548387094,175.89999999999992
170.2,5.490322580645161,68.4,18,22.64193548387097,32.7,13.3,19.400000000000002,5.796129032258064,179.68
139.40000000000003,4.496774193548388,41.7,18,24.03548387096774,33.1,16.4,16.700000000000003,5.121935483870968,158.78
152.79999999999998,4.929032258064516,45.5,15,24.054838709677423,33.3,15.7,17.599999999999998,5.111290322580644,158.44999999999996
136.0,4.387096774193548,30.2,17,24.693548387096772,34.4,16.4,18.0,5.230967741935484,162.16000000000003
170.2,5.490322580645161,68.4,18,22.667741935483868,32.5,13.5,19.0,5.811935483870968,180.17000000000002
171.3,5.525806451612904,33.6,17,22.33870967741936,33.5,12.7,20.8,5.856451612903226,181.55
159.6,5.148387096774194,43.4,17,22.83225806451613,33.2,13.8,19.400000000000002,5.916451612903226,183.41000000000003
76.0,2.4516129032258065,24.9,12,21.493548387096773,35.8,11.7,24.099999999999998,4.844838709677419,150.19
44.50000000000001,1.4354838709677422,21.8,4,25.016129032258068,38.8,12.5,26.299999999999997,7.469354838709676,231.54999999999995
131.29999999999998,4.235483870967742,34.5,19,22.79354838709677,32.0,14.4,17.6,5.0035483870967745,155.11
152.9,4.932258064516129,24.3,17,23.119354838709683,33.9,13.5,20.4,6.145483870967741,190.50999999999996
208.7,6.732258064516128,60.5,21,21.790322580645157,31.6,13.2,18.400000000000002,5.375806451612903,166.65
246.29999999999995,7.945161290322579,54.8,22,22.296774193548384,32.8,14.4,18.4,5.450967741935483,168.98
170.29999999999998,5.493548387096774,43.4,18,22.906451612903226,33.3,14.0,19.299999999999997,5.823548387096773,180.52999999999997
